"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
5	1211	87	0.0017974600084771	687
6	1211	95	0.00191763575225759	856
8	1211	60	0.00605094356364511	2114
9	1211	91	0.00210949820994831	733
10	1211	92	0.00178551706365276	582
11	1211	30	0.0101709905660377	2967
12	1211	27	0.0106068863017092	2141
6	1314	72	0.00367397503937202	1640
7	1314	68	0.00405670742873421	1595
8	1314	72	0.00426771847369671	1491
9	1314	70	0.00376428875663355	1308
10	1314	89	0.00188062192443152	613
11	1314	96	0.00129579859587538	378
12	1314	34	0.00759970274956651	1534
13	1314	81	0.00140477708074743	335
7	1315	88	0.00238315665249151	937
9	1315	97	0.00172961585836144	601
10	1315	82	0.0023377388359165	762
11	1315	53	0.00412393045195261	1203
12	1315	61	0.00399306415655189	806
13	1315	55	0.00446173974303063	1064
4	1411	53	0.00433231037783659	1231
5	1411	51	0.00504701653035274	1929
6	1411	40	0.00845014259055564	3772
7	1411	58	0.00532840254745966	2095
8	1411	31	0.0107107998179565	3742
9	1411	52	0.00600041441711082	2085
10	1411	9	0.0197511320546331	6438
11	1411	49	0.00560141509433962	1634
12	1411	11	0.0228337874659401	4609
13	1411	33	0.00865929752759234	2065
6	1412	69	0.00384871287661044	1718
7	1412	82	0.00294778928520561	1159
8	1412	78	0.00353496466466495	1235
9	1412	40	0.00763793758417848	2654
11	1412	57	0.00402451733216323	1174
12	1412	68	0.00282883329204855	571
13	1412	58	0.00350145929081821	835
5	1511	62	0.00374667064357964	1432
6	1511	75	0.00351043834554631	1567
7	1511	75	0.00320975847966305	1262
8	1511	37	0.00875583555401626	3059
9	1511	103	0.00126627450528957	440
10	1511	52	0.00556516830492459	1814
11	1511	31	0.00947852676612549	2765
13	1511	46	0.00565265523835083	1348
6	1524	113	0.000869208728827039	388
7	1524	107	0.00110128797281625	433
8	1524	107	0.000941703137388477	329
10	1524	51	0.00565413736823375	1843
11	1524	95	0.00136778740675735	399
12	1524	55	0.00447361902402774	903
5	2111	61	0.00381208039643543	1457
6	2111	112	0.000920733988525549	411
7	2111	87	0.00250523938388915	985
9	2111	69	0.00398588679505923	1385
10	2111	88	0.00203094896243665	662
11	2111	77	0.00275614304519526	804
12	2111	28	0.0104384443893981	2107
5	2112	73	0.00301931419182326	1154
6	2112	87	0.00255386069810006	1140
7	2112	56	0.00537164018149633	2112
8	2112	48	0.00782844401446044	2735
10	2112	97	0.00142964081041613	466
11	2112	98	0.00119295743747258	348
13	2112	65	0.0024615049146231	587
5	2121	103	0.000949749611466068	363
6	2121	13	0.0188537645922896	8416
7	2121	22	0.0125363704803955	4929
8	2121	28	0.0110056187333091	3845
9	2121	11	0.020559693331338	7144
10	2121	12	0.0174195290161862	5678
11	2121	36	0.00821358051777095	2396
12	2121	16	0.0181025513995541	3654
13	2121	51	0.00501107048206917	1195
5	2135	27	0.012506344746027	4780
6	2135	18	0.0147317438164088	6576
7	2135	17	0.0160157283252284	6297
8	2135	12	0.0172912725014097	6041
9	2135	22	0.0116065569996201	4033
10	2135	42	0.00743965443188651	2425
11	2135	37	0.00818958424747696	2389
12	2135	47	0.00519197423829576	1048
13	2135	72	0.00194991445536583	465
5	2142	68	0.00317891398879138	1215
6	2142	81	0.00314976152765674	1406
7	2142	31	0.00942834761023053	3707
8	2142	97	0.00138250035063415	483
9	2142	98	0.00172098216855265	598
10	2142	84	0.00221502288652456	722
11	2142	55	0.00403480144800351	1177
12	2142	54	0.00457270250185782	923
5	2162	76	0.00277860630131395	1062
6	2162	70	0.00374118189984834	1670
7	2162	108	0.00108348424115409	426
8	2162	102	0.00119931189837621	419
9	2162	48	0.00634863990606545	2206
10	2162	93	0.00166280111426082	542
4	2172	82	0.00141829494903992	403
5	2172	94	0.00121662140311769	465
6	2172	79	0.00322592930286324	1440
7	2172	83	0.00278501231000875	1095
8	2172	71	0.00439938517375711	1537
9	2172	79	0.00279731549804879	972
12	2172	69	0.00281397077037404	568
5	2321	91	0.00140500149134237	537
6	2321	64	0.00425195403946835	1898
7	2321	105	0.00120048019207683	472
8	2321	54	0.00668924082698137	2337
9	2321	24	0.0113475463053563	3943
10	2321	62	0.00433800881100517	1414
11	2321	9	0.022450224879333	6549
12	2321	31	0.00928907604656923	1875
13	2321	39	0.0068896977422926	1643
6	2322	56	0.00510996162488267	2281
7	2322	93	0.00217968543349543	857
8	2322	66	0.00519797233281907	1816
9	2322	54	0.00590256593261117	2051
10	2322	75	0.00283473843095387	924
11	2322	91	0.00145691641070645	425
12	2322	51	0.00469655684914541	948
5	2331	71	0.00306117643365096	1170
6	2331	62	0.00435724478754791	1945
7	2331	57	0.00535129305959672	2104
8	2331	57	0.00642304510729405	2244
9	2331	34	0.00869988143065996	3023
10	2331	90	0.00183460344340954	598
11	2331	40	0.00717488481790259	2093
12	2331	32	0.00866980431013128	1750
13	2331	49	0.00511590459257271	1220
5	2332	56	0.00444001402385101	1697
6	2332	23	0.013159103281263	5874
7	2332	8	0.0248794433027448	9782
8	2332	23	0.0114750391422201	4009
9	2332	9	0.023889419700929	8301
10	2332	91	0.00178858496238756	583
11	2332	29	0.0105892112768758	3089
12	2332	13	0.0205300966063909	4144
13	2332	41	0.00629843335905263	1502
6	2335	32	0.0094425638969226	4215
7	2335	48	0.0065492298614361	2575
8	2335	27	0.0110571404855066	3863
9	2335	56	0.0055226835810243	1919
10	2335	55	0.005117255089644	1668
11	2335	101	0.00116896116717859	341
12	2335	59	0.00411691850383948	831
5	2411	90	0.00140500149134237	537
6	2411	49	0.00668484238871104	2984
7	2411	99	0.00177782977597819	699
8	2411	70	0.00451101563685179	1576
9	2411	7	0.0321115702955024	11158
10	2411	35	0.00834775245738689	2721
13	2411	28	0.0109572612298299	2613
6	2413	54	0.00537878906678794	2401
7	2413	74	0.0033471015524854	1316
8	2413	74	0.00397289955834409	1388
9	2413	65	0.00470536094579194	1635
10	2413	58	0.00481966891236854	1571
11	2413	87	0.00149805287406757	437
12	2413	65	0.00302700024770869	611
13	2413	37	0.00722516689590392	1723
5	2426	65	0.00358445445649728	1370
6	2426	39	0.00852855059444468	3807
7	2426	25	0.0120226056524305	4727
8	2426	30	0.0107222490962226	3746
9	2426	27	0.00990572010728799	3442
10	2426	41	0.00750101240658248	2445
11	2426	44	0.00669153137340939	1952
12	2426	84	0.00181322764429031	366
13	2426	60	0.00348468583313764	831
5	2511	37	0.00899514921272821	3438
6	2511	26	0.0120681119128641	5387
7	2511	16	0.0162878710806356	6404
8	2511	49	0.00777405994269636	2716
9	2511	95	0.00196560337980177	683
10	2511	103	0.00122409159518463	399
13	2511	43	0.00623133952833037	1486
4	2512	37	0.00643687707641196	1829
5	2512	14	0.0159939927682977	6113
6	2512	30	0.0102893703389242	4593
7	2512	42	0.00725374895721	2852
8	2512	46	0.00789713968405717	2759
9	2512	41	0.00753145540987003	2617
10	2512	37	0.00828025868522132	2699
12	2512	78	0.00203121129551647	410
4	2543	83	0.00136198547215496	387
6	2543	91	0.00213941839182944	955
8	2543	103	0.00118213798097702	413
9	2543	80	0.00275126915240189	956
10	2543	56	0.0049117058744125	1601
11	2543	90	0.0014637724879333	427
12	2543	85	0.00178350260094129	360
4	2614	78	0.00158018469508418	449
5	2614	83	0.002203000476183	842
6	2614	60	0.00453198262478634	2023
7	2614	60	0.00523175371843653	2057
8	2614	56	0.00642876974642711	2246
9	2614	74	0.00318870943604738	1108
4	2632	86	0.00129511796835407	368
5	2632	20	0.0142933391940472	5463
6	2632	14	0.0184863670883524	8252
7	2632	12	0.017643498077197	6937
8	2632	7	0.0272635938712013	9525
9	2632	13	0.0178256915585537	6194
10	2632	39	0.008102320558603	2641
11	2632	45	0.00623903027643703	1820
