"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
5	1211	93	0.00223572740472916	930
6	1211	83	0.00374586417883598	1645
7	1211	66	0.00472715884683956	1917
8	1211	103	0.00200112987257548	797
9	1211	53	0.00577879095827955	2104
10	1211	91	0.00251444438978261	920
11	1211	67	0.00411681865082685	1181
12	1211	51	0.00482869723982386	1124
5	1212	79	0.00322137066917966	1340
6	1212	120	0.00125469371582895	551
7	1212	135	0.000448796510237246	182
8	1212	130	0.000454459858138221	181
9	1212	87	0.00280974484330797	1023
10	1212	73	0.0038809902537949	1420
7	1223	74	0.0039824525496327	1615
8	1223	114	0.00121775155357479	485
9	1223	136	0.000571287319069461	208
10	1223	115	0.0011342330671302	415
11	1223	96	0.00216821439527036	622
12	1223	54	0.00414993019009773	966
13	1223	82	0.00160643969752936	461
5	1314	92	0.00228621157193273	951
7	1314	101	0.00203437978541609	825
8	1314	35	0.00867993220764547	3457
9	1314	119	0.00134582108819248	490
10	1314	89	0.0026019033250794	952
11	1314	102	0.001819626871915	522
12	1314	26	0.00907313929760498	2112
13	1314	36	0.00657211555214831	1886
7	1315	128	0.00087539978645177	355
9	1315	96	0.00225768353978412	822
10	1315	94	0.00228759777635657	837
11	1315	88	0.00274686968404027	788
12	1315	103	0.00133605412952422	311
13	1315	92	0.00146008293549848	419
5	1411	87	0.00262998471050936	1094
6	1411	42	0.00775587440310964	3406
7	1411	84	0.00337830340123641	1370
8	1411	12	0.0157428912183793	6270
9	1411	52	0.00583097585761762	2123
10	1411	28	0.0117358958801375	4294
11	1411	34	0.00797916840960428	2289
12	1411	78	0.00266351627107722	620
13	1411	59	0.00362755688747953	1041
6	1412	81	0.00379823796370724	1668
7	1412	72	0.00402930493256956	1634
8	1412	66	0.0049764609880108	1982
9	1412	71	0.00400725095443434	1459
10	1412	53	0.00517647573287855	1894
11	1412	89	0.00271201093170473	778
12	1412	32	0.00676619052733326	1575
5	1511	121	0.000978431240564269	407
6	1511	50	0.00655355447215195	2878
7	1511	46	0.00770598403566699	3125
8	1511	41	0.00812503923168665	3236
9	1511	49	0.00600400999752808	2186
10	1511	39	0.00773738268203757	2831
13	1511	64	0.00310136948113043	890
5	1711	110	0.0012572961641649	523
7	1711	67	0.00458660169802899	1860
8	1711	101	0.00212918209779675	848
9	1711	98	0.00221099178774479	805
10	1711	129	0.000601280180165407	220
11	1711	101	0.00182659862238211	524
12	1711	68	0.00319621952529266	744
6	2111	77	0.00389843129128705	1712
7	2111	100	0.00216014144487817	876
8	2111	45	0.00757767873956437	3018
10	2111	113	0.0011451654340423	419
11	2111	79	0.00334992609944505	961
12	2111	58	0.00394372247878853	918
5	2112	84	0.00274537709268893	1142
6	2112	90	0.00321757208796063	1413
8	2112	75	0.00400225974515096	1594
9	2112	124	0.00120574583207449	439
10	2112	101	0.00157699392707018	577
11	2112	103	0.00179173987004657	514
12	2112	79	0.00260766834926431	607
5	2121	45	0.00682257459636706	2838
6	2121	12	0.0166275381360853	7302
7	2121	52	0.00727691484456105	2951
8	2121	11	0.0172468771577428	6869
9	2121	24	0.0113735614820511	4141
10	2121	8	0.0250651842377134	9171
11	2121	12	0.0211313756658022	6062
12	2121	9	0.0271678659649876	6324
13	2121	31	0.00804265254207757	2308
5	2135	51	0.00598597982556518	2490
6	2135	16	0.0153773986624191	6753
7	2135	21	0.0123468358613071	5007
8	2135	7	0.0253543405938108	10098
9	2135	12	0.0157268807163064	5726
10	2135	22	0.0129931180750288	4754
11	2135	72	0.00375428762653727	1077
12	2135	17	0.0155214262700032	3613
13	2135	17	0.011426281492839	3279
6	2142	40	0.00822951558803236	3614
7	2142	33	0.00929649914062866	3770
8	2142	56	0.00634988387420752	2529
10	2142	47	0.00621778368125591	2275
12	2142	27	0.00898292342390721	2091
13	2142	67	0.00280168658744817	804
5	2162	77	0.00328147086823152	1365
6	2162	47	0.00710917201600361	3122
7	2162	12	0.0164451864108362	6669
9	2162	30	0.00892087121316158	3248
10	2162	44	0.00654028850516281	2393
11	2162	112	0.0011956552051089	343
4	2172	15	0.0142113430148539	4799
5	2172	94	0.00219726327733597	914
6	2172	98	0.00293748619495344	1290
7	2172	90	0.00265332442316086	1076
8	2172	58	0.00601092210156299	2394
9	2172	54	0.00552885275618666	2013
